"externalId";"name";"code";"active";"countyExternalId"
"170333";"São Pedro de Agostém";"170333";"true";"170300"
"160716";"Correlhã";"160716";"true";"160700"
"030111";"Fiscal";"030111";"true";"030100"
"171316";"Vreia de Jales";"171316";"true";"171300"
"131010";"Duas Igrejas";"131010";"true";"131000"
"160410";"Lara";"160410";"true";"160400"
"020401";"Barrancos";"020401";"true";"020400"
"010917";"Nogueira da Regedoura";"010917";"true";"010900"
"060104";"Benfeita";"060104";"true";"060100"
"050609";"Orvalho";"050609";"true";"050600"
"181616";"Sul";"181616";"true";"181600"
"150503";"Melides";"150503";"true";"150500"
"050324";"Tortosendo";"050324";"true";"050300"
"090730";"Pêra do Moço";"090730";"true";"090700"
"091219";"Sazes da Beira";"091219";"true";"091200"
"060514";"São Pedro";"060514";"true";"060500"
"170208";"Covas do Barroso";"170208";"true";"170200"
"110808";"Vimeiro";"110808";"true";"110800"
"050512";"Rosmaninhal";"050512";"true";"050500"
"110654";"Alvalade";"110654";"true";"110600"
"310905";"São Roque do Faial";"310905";"true";"310900"
"181302";"Barrô";"181302";"true";"181300"
"041227";"Vale das Fontes";"041227";"true";"041200"
"420322";"Sete Cidades";"420322";"true";"420300"
"170116";"Vila Chã";"170116";"true";"170100"
"140105";"Martinchel";"140105";"true";"140100"
"030820";"Gonça";"030820";"true";"030800"
"181606";"Figueiredo de Alva";"181606";"true";"181600"
"182105";"Castelões";"182105";"true";"182100"
"050223";"Sarzedas";"050223";"true";"050200"
"181106";"Lusinde";"181106";"true";"181100"
"060318";"Santo António dos Olivais";"060318";"true";"060300"
"120402";"Nossa Senhora da Graça dos Degolados";"120402";"true";"120400"
"011007";"Gafanha do Carmo";"011007";"true";"011000"
"010913";"Lourosa";"010913";"true";"010900"
"050403";"Alcongosta";"050403";"true";"050400"
"091120";"Nave";"091120";"true";"091100"
"171007";"Paços";"171007";"true";"171000"
"420104";"Santa Cruz";"420104";"true";"420100"
"061009";"Santo Varão";"061009";"true";"061000"
"111318";"Ventosa";"111318";"true";"111300"
"081201";"São Brás de Alportel";"081201";"true";"081200"
"060901";"Lamas";"060901";"true";"060900"
"420504";"Lomba de São Pedro";"420504";"true";"420500"
"011706";"Sever do Vouga";"011706";"true";"011700"
"130906";"Figueiró";"130906";"true";"130900"
"131132";"Recezinhos (São Mamede)";"131132";"true";"131100"
"160802";"Boivão";"160802";"true";"160800"
"170809";"Sedielos";"170809";"true";"170800"
"041206";"Edral";"041206";"true";"041200"
"091124";"Quintas de São Bartolomeu";"091124";"true";"091100"
"141628";"Gançaria";"141628";"true";"141600"
"171227";"Vales";"171227";"true";"171200"
"310304";"Santa Maria Maior";"310304";"true";"310300"
"470101";"Capelo";"470101";"true";"470100"
"040210";"Coelhoso";"040210";"true";"040200"
"160428";"Tangil";"160428";"true";"160400"
"031309";"Cervães";"031309";"true";"031300"
"110909";"Mafra";"110909";"true";"110900"
"141703";"Sardoal";"141703";"true";"141700"
"120903";"Comenda";"120903";"true";"120900"
"131806";"Covelas";"131806";"true";"131800"
"170704";"Jou";"170704";"true";"170700"
"031230";"Pedome";"031230";"true";"031200"
"010112";"Macinhata do Vouga";"010112";"true";"010100"
"180414";"Souselo";"180414";"true";"180400"
"030404";"Basto";"030404";"true";"030400"
"142104";"Caxarias";"142104";"true";"142100"
"101501";"Abiul";"101501";"true";"101500"
"131115";"Irivo";"131115";"true";"131100"
"131203";"Campanhã";"131203";"true";"131200"
"131627";"Vila Chã";"131627";"true";"131600"
"060502";"Alqueidão";"060502";"true";"060500"
"110911";"Milharado";"110911";"true";"110900"
"141106";"Ferreira do Zêzere";"141106";"true";"141100"
"091127";"Rendo";"091127";"true";"091100"
"070908";"Vera Cruz";"070908";"true";"070900"
"040221";"Macedo do Mato";"040221";"true";"040200"
"131405";"Aves";"131405";"true";"131400"
"171209";"Ervões";"171209";"true";"171200"
"131308";"Laundos";"131308";"true";"131300"
"030835";"Pencelo";"030835";"true";"030800"
"020104";"São João de Negrilhos";"020104";"true";"020100"
"021403";"Vidigueira";"021403";"true";"021400"
"430115";"São Bento";"430115";"true";"430100"
"171313";"Valoura";"171313";"true";"171300"
"160406";"Bela";"160406";"true";"160400"
"040528";"Sezulfe";"040528";"true";"040500"
"080801";"Almancil";"080801";"true";"080800"
"040514";"Ferreira";"040514";"true";"040500"
"180413";"São Cristóvão de Nogueira";"180413";"true";"180400"
"100106";"Cela";"100106";"true";"100100"
"031242";"Oliveira (São Mateus)";"031242";"true";"031200"
"090403";"Castelo Rodrigo";"090403";"true";"090400"
"010904";"Escapães";"010904";"true";"010900"
"080808";"Loulé (São Clemente)";"080808";"true";"080800"
"040733";"Vale de Salgueiro";"040733";"true";"040700"
"110902";"Carvoeira";"110902";"true";"110900"
"061609";"Mouronho";"061609";"true";"061600"
"171103";"Fontes";"171103";"true";"171100"
"142102";"Atouguia";"142102";"true";"142100"
"050203";"Benquerenças";"050203";"true";"050200"
"070502";"Nossa Senhora da Graça do Divor";"070502";"true";"070500"
"080303";"Odeceixe";"080303";"true";"080300"
"091402";"Castelo Melhor";"091402";"true";"091400"
"120501";"Nossa Senhora da Graça de Póvoa e Meadas";"120501";"true";"120500"
"080103";"Paderne";"080103";"true";"080100"
"150903";"Cercal";"150903";"true";"150900"
"141916";"Zibreira";"141916";"true";"141900"
"090722";"João Antão";"090722";"true";"090700"
"160619";"Sampriz";"160619";"true";"160600"
"040536";"Vilarinho de Agrochão";"040536";"true";"040500"
"091405";"Custóias";"091405";"true";"091400"
"180710";"Moimenta da Beira";"180710";"true";"180700"
"181902";"Arcos";"181902";"true";"181900"
"061206";"Pampilhosa da Serra";"061206";"true";"061200"
"141502";"Marinhais";"141502";"true";"141500"
"040118";"Vilar Chão";"040118";"true";"040100"
"100105";"Benedita";"100105";"true";"100100"
"011905";"Junqueira";"011905";"true";"011900"
"180109";"Queimada";"180109";"true";"180100"
"141411";"São Sebastião";"141411";"true";"141400"
"140801";"Constância";"140801";"true";"140800"
"070506";"São Bento do Mato";"070506";"true";"070500"
