"170000";"171300";"171303";"Bornes de Aguiar";2003-07-31;2004-07-30
"170000";"171300";"171303";"Bornes de Aguiar";2004-07-31;2005-04-29
"170000";"171300";"171303";"Bornes de Aguiar";2005-04-30;2006-05-30
"170000";"171300";"171303";"Bornes de Aguiar";2006-05-31;2007-06-29
"170000";"171300";"171303";"Bornes de Aguiar";2007-06-30;2008-08-04
"170000";"171300";"171303";"Bornes de Aguiar";2008-08-05;2009-06-29
"170000";"171300";"171303";"Bornes de Aguiar";2009-06-30;2010-07-29
"170000";"171300";"171303";"Bornes de Aguiar";2010-07-30;2050-12-31
"170000";"171300";"171304";"Bragado";1836-12-31;2001-03-11
"170000";"171300";"171304";"Bragado";2001-03-12;2003-07-30
"170000";"171300";"171304";"Bragado";2003-07-31;2004-07-30
"170000";"171300";"171304";"Bragado";2004-07-31;2005-04-29
"170000";"171300";"171304";"Bragado";2005-04-30;2006-05-30
"170000";"171300";"171304";"Bragado";2006-05-31;2007-06-29
"170000";"171300";"171304";"Bragado";2007-06-30;2008-08-04
"170000";"171300";"171304";"Bragado";2008-08-05;2009-06-29
"170000";"171300";"171304";"Bragado";2009-06-30;2010-07-29
"170000";"171300";"171304";"Bragado";2010-07-30;2050-12-31
"170000";"171300";"171305";"Capeludos";1836-12-31;2001-03-11
"170000";"171300";"171305";"Capeludos";2001-03-12;2003-07-30
"170000";"171300";"171305";"Capeludos";2003-07-31;2004-07-30
"170000";"171300";"171305";"Capeludos";2004-07-31;2005-04-29
"170000";"171300";"171305";"Capeludos";2005-04-30;2006-05-30
"170000";"171300";"171305";"Capeludos";2006-05-31;2007-06-29
"170000";"171300";"171305";"Capeludos";2007-06-30;2008-08-04
"170000";"171300";"171305";"Capeludos";2008-08-05;2009-06-29
"170000";"171300";"171305";"Capeludos";2009-06-30;2010-07-29
"170000";"171300";"171305";"Capeludos";2010-07-30;2050-12-31
"170000";"171300";"171306";"Gouvães da Serra";1836-12-31;2001-03-11
"170000";"171300";"171306";"Gouvães da Serra";2001-03-12;2003-07-30
"170000";"171300";"171306";"Gouvães da Serra";2003-07-31;2004-07-30
"170000";"171300";"171306";"Gouvães da Serra";2004-07-31;2005-04-29
"170000";"171300";"171306";"Gouvães da Serra";2005-04-30;2006-05-30
"170000";"171300";"171306";"Gouvães da Serra";2006-05-31;2007-06-29
"170000";"171300";"171306";"Gouvães da Serra";2007-06-30;2008-08-04
"170000";"171300";"171306";"Gouvães da Serra";2008-08-05;2009-06-29
"170000";"171300";"171306";"Gouvães da Serra";2009-06-30;2010-07-29
"170000";"171300";"171306";"Gouvães da Serra";2010-07-30;2013-09-29
"170000";"171300";"171307";"Parada de Monteiros";1836-12-31;2001-03-11
"170000";"171300";"171307";"Parada de Monteiros";2001-03-12;2003-07-30
"170000";"171300";"171307";"Parada de Monteiros";2003-07-31;2004-07-30
"170000";"171300";"171307";"Parada de Monteiros";2004-07-31;2005-04-29
"170000";"171300";"171307";"Parada de Monteiros";2005-04-30;2006-05-30
"170000";"171300";"171307";"Parada de Monteiros";2006-05-31;2007-06-29
"170000";"171300";"171307";"Parada de Monteiros";2007-06-30;2008-08-04
"170000";"171300";"171307";"Parada de Monteiros";2008-08-05;2009-06-29
"170000";"171300";"171307";"Parada de Monteiros";2009-06-30;2010-07-29
"170000";"171300";"171307";"Parada de Monteiros";2010-07-30;2013-09-29
"170000";"171300";"171308";"Pensalvos";1836-12-31;2001-03-11
"170000";"171300";"171308";"Pensalvos";2001-03-12;2003-07-30
"170000";"171300";"171308";"Pensalvos";2003-07-31;2004-07-30
"170000";"171300";"171308";"Pensalvos";2004-07-31;2005-04-29
"170000";"171300";"171308";"Pensalvos";2005-04-30;2006-05-30
"170000";"171300";"171308";"Pensalvos";2006-05-31;2007-06-29
"170000";"171300";"171308";"Pensalvos";2007-06-30;2008-08-04
"170000";"171300";"171308";"Pensalvos";2008-08-05;2009-06-29
"170000";"171300";"171308";"Pensalvos";2009-06-30;2010-07-29
"170000";"171300";"171308";"Pensalvos";2010-07-30;2013-09-29
"170000";"171300";"171309";"Santa Marta da Montanha";1836-12-31;2001-03-11
"170000";"171300";"171309";"Santa Marta da Montanha";2001-03-12;2003-07-30
"170000";"171300";"171309";"Santa Marta da Montanha";2003-07-31;2004-07-30
"170000";"171300";"171309";"Santa Marta da Montanha";2004-07-31;2005-04-29
"170000";"171300";"171309";"Santa Marta da Montanha";2005-04-30;2006-05-30
"170000";"171300";"171309";"Santa Marta da Montanha";2006-05-31;2007-06-29
"170000";"171300";"171309";"Santa Marta da Montanha";2007-06-30;2008-08-04
"170000";"171300";"171309";"Santa Marta da Montanha";2008-08-05;2009-06-29
"170000";"171300";"171309";"Santa Marta da Montanha";2009-06-30;2010-07-29
"170000";"171300";"171309";"Santa Marta da Montanha";2010-07-30;2013-09-29
"170000";"171300";"171310";"Soutelo de Aguiar";1836-12-31;2001-03-11
"170000";"171300";"171310";"Soutelo de Aguiar";2001-03-12;2003-07-30
"170000";"171300";"171310";"Soutelo de Aguiar";2003-07-31;2003-12-31
"170000";"171300";"171310";"Soutelo de Aguiar";2004-01-01;2004-07-30
"170000";"171300";"171310";"Soutelo de Aguiar";2004-07-31;2005-04-29
"170000";"171300";"171310";"Soutelo de Aguiar";2005-04-30;2006-05-30
"170000";"171300";"171310";"Soutelo de Aguiar";2006-05-31;2007-06-29
"170000";"171300";"171310";"Soutelo de Aguiar";2007-06-30;2008-08-04
"170000";"171300";"171310";"Soutelo de Aguiar";2008-08-05;2009-06-29
"170000";"171300";"171310";"Soutelo de Aguiar";2009-06-30;2010-07-29
"170000";"171300";"171310";"Soutelo de Aguiar";2010-07-30;2050-12-31
"170000";"171300";"171311";"Telões";1836-12-31;2001-03-11
"170000";"171300";"171311";"Telões";2001-03-12;2003-07-30
"170000";"171300";"171311";"Telões";2003-07-31;2004-07-30
"170000";"171300";"171311";"Telões";2004-07-31;2005-04-29
"170000";"171300";"171311";"Telões";2005-04-30;2006-05-30
"170000";"171300";"171311";"Telões";2006-05-31;2007-06-29
"170000";"171300";"171311";"Telões";2007-06-30;2008-08-04
"170000";"171300";"171311";"Telões";2008-08-05;2009-06-29
"170000";"171300";"171311";"Telões";2009-06-30;2010-07-29
"170000";"171300";"171311";"Telões";2010-07-30;2050-12-31
"170000";"171300";"171312";"Tresminas";1855-10-24;2001-03-11
"170000";"171300";"171312";"Tresminas";2001-03-12;2003-07-30
"170000";"171300";"171312";"Tresminas";2003-07-31;2004-07-30
"170000";"171300";"171312";"Tresminas";2004-07-31;2005-04-29
"170000";"171300";"171312";"Tresminas";2005-04-30;2006-05-30
"170000";"171300";"171312";"Tresminas";2006-05-31;2007-06-29
"170000";"171300";"171312";"Tresminas";2007-06-30;2008-08-04
"170000";"171300";"171312";"Tresminas";2008-08-05;2009-06-29
"170000";"171300";"171312";"Tresminas";2009-06-30;2010-07-29
"170000";"171300";"171312";"Tresminas";2010-07-30;2050-12-31
"170000";"171300";"171313";"Valoura";1836-12-31;2001-03-11
"170000";"171300";"171313";"Valoura";2001-03-12;2003-07-30
"170000";"171300";"171313";"Valoura";2003-07-31;2004-07-30
"170000";"171300";"171313";"Valoura";2004-07-31;2005-04-29
"170000";"171300";"171313";"Valoura";2005-04-30;2006-05-30
"170000";"171300";"171313";"Valoura";2006-05-31;2007-06-29
"170000";"171300";"171313";"Valoura";2007-06-30;2008-08-04
"170000";"171300";"171313";"Valoura";2008-08-05;2009-06-29
"170000";"171300";"171313";"Valoura";2009-06-30;2010-07-29
"170000";"171300";"171313";"Valoura";2010-07-30;2050-12-31
"170000";"171300";"171314";"Vila Pouca de Aguiar";1836-12-31;2001-03-11
"170000";"171300";"171314";"Vila Pouca de Aguiar";2001-03-12;2003-07-30
"170000";"171300";"171314";"Vila Pouca de Aguiar";2003-07-31;2004-07-30
"170000";"171300";"171314";"Vila Pouca de Aguiar";2004-07-31;2005-04-29
"170000";"171300";"171314";"Vila Pouca de Aguiar";2005-04-30;2006-05-30
"170000";"171300";"171314";"Vila Pouca de Aguiar";2006-05-31;2007-06-29
"170000";"171300";"171314";"Vila Pouca de Aguiar";2007-06-30;2008-08-04
"170000";"171300";"171314";"Vila Pouca de Aguiar";2008-08-05;2009-06-29
"170000";"171300";"171314";"Vila Pouca de Aguiar";2009-06-30;2010-07-29
"170000";"171300";"171314";"Vila Pouca de Aguiar";2010-07-30;2050-12-31
"170000";"171300";"171315";"Vreia de Bornes";1836-12-31;1993-07-08
"170000";"171300";"171315";"Vreia de Bornes";1993-07-09;2001-03-11
"170000";"171300";"171315";"Vreia de Bornes";2001-03-12;2003-07-30
"170000";"171300";"171315";"Vreia de Bornes";2003-07-31;2004-07-30
"170000";"171300";"171315";"Vreia de Bornes";2004-07-31;2005-04-29
"170000";"171300";"171315";"Vreia de Bornes";2005-04-30;2006-05-30
"170000";"171300";"171315";"Vreia de Bornes";2006-05-31;2007-06-29
"170000";"171300";"171315";"Vreia de Bornes";2007-06-30;2008-08-04
"170000";"171300";"171315";"Vreia de Bornes";2008-08-05;2009-06-29
"170000";"171300";"171315";"Vreia de Bornes";2009-06-30;2010-07-29
"170000";"171300";"171315";"Vreia de Bornes";2010-07-30;2050-12-31
"170000";"171300";"171316";"Vreia de Jales";1853-12-31;2001-03-11
"170000";"171300";"171316";"Vreia de Jales";2001-03-12;2003-07-30
"170000";"171300";"171316";"Vreia de Jales";2003-07-31;2004-07-30
"170000";"171300";"171316";"Vreia de Jales";2004-07-31;2005-04-29
