"030000";"031400";"Vizela";"1998-09-16";"2050-12-31"
"040000";"04AA00";"Alfandega da Fé";"1836-12-31";"1895-08-14"
"040000";"04AB00";"Freixo de Espada à Cinta";"1836-12-31";"1896-06-26"
"040000";"04AC00";"Cortiços";"1836-12-31";"1853-12-31"
"040000";"04AD00";"Lamas de Orelhão";"1838-04-17";"1853-12-31"
"040000";"04AE00";"Izeda";"1836-12-31";"1855-10-24"
"040000";"04AF00";"Outeiro";"1836-12-31";"1853-12-31"
"040000";"04AG00";"Santalha";"1836-12-31";"1853-12-31"
"040000";"04AH00";"Vilarinho da Castanheira";"1837-09-27";"1853-12-31"
"040000";"04AI00";"Torre de Dona Chama";"1836-12-31";"1855-10-24"
"040000";"040100";"Alfândega da Fé";"1898-01-13";"2050-12-31"
"040000";"040200";"Bragança";"1836-12-31";"2050-12-31"
"040000";"040300";"Carrazeda de Ansiães";"1836-12-31";"2050-12-31"
"040000";"040400";"Freixo de Espada à Cinta";"1898-01-13";"2050-12-31"
"040000";"040500";"Chacim";"1836-12-31";"1853-12-31"
"040000";"040500";"Macedo de Cavaleiros";"1853-12-31";"2050-12-31"
"040000";"040600";"Miranda do Douro";"1836-12-31";"2050-12-31"
"040000";"040700";"Mirandela";"1836-12-31";"2050-12-31"
"040000";"040800";"Mogadouro";"1836-12-31";"2050-12-31"
"040000";"040900";"Torre de Moncorvo";"1936-12-31";"2050-12-31"
"040000";"040900";"Moncorvo";"1836-12-31";"1936-12-31"
"040000";"041000";"Vila Flor";"1836-12-31";"2050-12-31"
"040000";"041100";"Vimioso";"1836-12-31";"2050-12-31"
"040000";"041200";"Vinhais";"1836-12-31";"2050-12-31"
"040000";"049800";"Moncorvo";"1836-12-31";"1836-12-31"
"050000";"05AA00";"São Vicente da Beira";"1836-12-31";"1895-09-07"
"050000";"05AB00";"Belmonte";"1853-12-31";"1895-09-07"
"050000";"05AC00";"Vila de Rei";"1836-12-31";"1895-09-07"
"050000";"05AD00";"Vila Velha de Ródão";"1837-08-24";"1895-09-07"
"050000";"05AE00";"Mação";"1836-12-31";"1842-03-19"
"050000";"05AF00";"Sobreira Formosa";"1838-04-17";"1855-10-24"
"050000";"05AG00";"Alpedrinha";"1836-12-31";"1855-10-24"
"050000";"05AH00";"Salvaterra do Extremo";"1836-12-31";"1855-10-24"
"050000";"05AI00";"Sortelha";"1836-12-31";"1853-12-31"
"050000";"05AJ00";"Monsanto";"1837-09-27";"1853-12-31"
"050000";"05AL00";"Sarzedas";"1837-09-27";"1848-02-16"
"050000";"050100";"Belmonte";"1898-01-13";"2050-12-31"
"050000";"050200";"Castelo Branco";"1836-12-31";"2050-12-31"
"050000";"050300";"Covilhã";"1836-12-31";"2050-12-31"
"050000";"050400";"Fundão";"1836-12-31";"2050-12-31"
"050000";"050500";"Idanha-a-Nova";"1836-12-31";"2050-12-31"
"050000";"050600";"Oleiros";"1836-12-31";"2050-12-31"
"050000";"050700";"Penamacor";"1836-12-31";"2050-12-31"
"050000";"050800";"Proença-a-Nova";"1936-12-31";"2050-12-31"
"050000";"050800";"Proença a Nova";"1836-12-31";"1936-12-31"
"050000";"050900";"Sertã";"1836-12-31";"2050-12-31"
"050000";"051000";"Vila de Rei";"1898-01-13";"2050-12-31"
"050000";"051100";"Vila Velha de Ródão";"1898-01-13";"2050-12-31"
"050000";"059800";"São Vicente da Beira";"1836-12-31";"1836-12-31"
"050000";"059900";"Proença a Nova";"1836-12-31";"1836-12-31"
"060000";"06AA00";"Mealhada";"1836-12-31";"1853-12-31"
"060000";"06AB00";"Ançãa";"1836-12-31";"1837-07-04"
"060000";"06AC00";"Mira";"1853-12-31";"1895-09-07"
"060000";"06AD00";"Santo André de Poiares";"1836-12-31";"1895-09-07"
"060000";"06AE00";"Farinha Podre";"1836-12-31";"1837-07-04"
"060000";"06AF00";"Rabaçal";"1836-12-31";"1837-07-04"
"060000";"06AG00";"São João de Areias";"1837-07-04";"1838-01-02"
"060000";"06AH00";"Santa Comba Dão";"1836-12-31";"1838-01-02"
"060000";"06AI00";"Carregal";"1836-12-31";"1837-07-04"
"060000";"06AJ00";"Semide";"1837-07-04";"1838-01-02"
"060000";"06AL00";"Alvares";"1837-07-04";"1838-01-02"
"060000";"06AM00";"Santo Varão";"1836-12-31";"1837-07-04"
"060000";"06AN00";"Verride";"1836-12-31";"1837-07-04"
"060000";"06AO00";"Avô";"1836-12-31";"1837-07-04"
"060000";"06AP00";"Cadima";"1836-12-31";"1837-07-04"
"060000";"06AQ00";"Coja";"1836-12-31";"1837-07-04"
"060000";"06AR00";"Fajão";"1836-12-31";"1837-07-04"
"060000";"06AS00";"Midões";"1836-12-31";"1837-07-04"
"060000";"06AT00";"Paião";"1836-12-31";"1837-07-04"
"060000";"06AT00";"Lavos";"1837-07-04";"1838-01-02"
"060000";"06AU00";"Tentugal";"1836-12-31";"1837-07-04"
"060000";"06AV00";"Maiorca";"1836-12-31";"1837-07-04"
"060000";"06AX00";"Mortágua";"1836-12-31";"1837-07-04"
"060000";"060100";"Arganil";"1836-12-31";"2050-12-31"
"060000";"060200";"Cantanhede";"1836-12-31";"2050-12-31"
"060000";"060300";"Coimbra";"1836-12-31";"2050-12-31"
"060000";"060400";"Condeixa-a-Nova";"1838-04-17";"2050-12-31"
"060000";"060500";"Figueira da Foz";"1836-12-31";"2050-12-31"
"060000";"060600";"Góis";"1836-12-31";"2050-12-31"
"060000";"060700";"Louzã";"1836-12-31";"1936-12-31"
