what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1253406799564
ws,sysinfo,,,"gtk",1253406799564
locale,sysinfo,,,"pt_PT",1253406799564
processors,sysinfo,,,"2",1253406799564
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1253406799564
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1253406799564
java.specification.name,sysinfo,,,"Java Platform API Specification",1253406799564
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1253406799564
java.specification.version,sysinfo,,,"1.6",1253406799564
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1253406799564
java.version,sysinfo,,,"1.6.0_14",1253406799564
java.vm.info,sysinfo,,,"mixed mode",1253406799564
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1253406799564
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1253406799564
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1253406799564
java.vm.specification.version,sysinfo,,,"1.0",1253406799564
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1253406799564
java.vm.version,sysinfo,,,"14.0-b16",1253406799564
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1253406799775
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1253406799822
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1253406800052
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1253406800079
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1253406800081
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1253406800177
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1253406800203
