what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"linux",1253493646374
arch,sysinfo,,,"x86",1253493646374
ws,sysinfo,,,"gtk",1253493646374
locale,sysinfo,,,"pt_PT",1253493646374
processors,sysinfo,,,"2",1253493646375
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1253493646375
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1253493646375
java.specification.name,sysinfo,,,"Java Platform API Specification",1253493646375
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1253493646375
java.specification.version,sysinfo,,,"1.6",1253493646375
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1253493646375
java.version,sysinfo,,,"1.6.0_14",1253493646375
java.vm.info,sysinfo,,,"mixed mode",1253493646375
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1253493646375
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1253493646375
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1253493646375
java.vm.specification.version,sysinfo,,,"1.0",1253493646375
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1253493646375
java.vm.version,sysinfo,,,"14.0-b16",1253493646375
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.tasks.ui",1253493646413
started,bundle,org.eclipse.mylyn.team.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.team.ui",1253493646422
started,bundle,org.eclipse.team.svn.mylyn,0.7.8.I20090506-1500,"org.eclipse.team.svn.mylyn",1253493646426
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.monitor.ui",1253493646463
started,bundle,org.eclipse.team.cvs.ui,3.3.200.I20090521-1750,"org.eclipse.team.cvs.ui",1253493646522
started,bundle,org.eclipse.team.svn.core,0.7.8.I20090506-1500,"org.eclipse.team.svn.core",1253493646551
