what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.tasks.ui",1253748970825
started,bundle,org.eclipse.mylyn.team.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.team.ui",1253748970826
os,sysinfo,,,"linux",1253748970828
arch,sysinfo,,,"x86",1253748970828
ws,sysinfo,,,"gtk",1253748970828
locale,sysinfo,,,"pt_PT",1253748970828
processors,sysinfo,,,"2",1253748970829
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1253748970829
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1253748970829
java.specification.name,sysinfo,,,"Java Platform API Specification",1253748970829
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1253748970829
java.specification.version,sysinfo,,,"1.6",1253748970829
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1253748970829
java.version,sysinfo,,,"1.6.0_14",1253748970829
java.vm.info,sysinfo,,,"mixed mode",1253748970829
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1253748970829
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1253748970829
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1253748970829
java.vm.specification.version,sysinfo,,,"1.0",1253748970829
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1253748970829
java.vm.version,sysinfo,,,"14.0-b16",1253748970829
started,bundle,org.eclipse.team.svn.core,0.7.8.I20090506-1500,"org.eclipse.team.svn.core",1253749000925
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1253749000970
started,bundle,org.eclipse.team.svn.ui,0.7.8.I20090506-1500,"org.eclipse.team.svn.ui",1253749000986
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.1.I20090708-1500,"org.polarion.eclipse.team.svn.connector.svnkit16",1253749001026
